5,20.2,7191512
5,13.7,7191964
5,22.6,7191892
5,15,7192020
5,18.5,7192316
5,22.7,7191824
5,22.6,7190928
5,13.1,7190972
5,24.2,7190736
5,22.6,7190704
5,22.6,7190392
5,24.7,7190212
5,20.3,7191172
5,26,7190724
5,16,7191696
5,24.2,7191688
5,22.7,7190656
5,17.8,7191264
5,17.1,7191000
5,27.4,7191456
5,33.3,7190800
5,16,7190276
5,24.2,7190896
5,14.1,7190180
5,16,7190384
5,22.6,7190304
5,24.2,7190704
5,6,7191548
5,22.6,7190588
5,16,7189872
5,24.2,7190072
5,13.7,7190752
5,27.4,7191616
5,17.1,7190568
5,24.2,7190416
5,21.4,7190764
5,15.1,7190680
5,15.1,7190612
5,16,7191608
5,17.8,7191424
5,33.3,7190480
5,15.1,7190588
5,15.1,7191508
5,16,7191224
5,24.2,7190876
5,17.1,7190680
5,44.9,7190576
5,14.3,7190552
5,11.6,7190656
5,15.1,7190368
5,13.7,7191316
5,29.1,7191364
5,22.6,7190776
5,20.2,7190628
5,12.7,7190548
5,31,7191144
5,26,7190136
5,20.3,7191044
5,16,7189772
5,23.8,7190980
5,26,7191052
5,24.2,7190716
5,21.4,7191100
5,16,7193876
